url,street_address,price,housing,map_address
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-beautiful-home-near-downtown/7783511634.html,N/A,"$6,995",/ 5br - 3400ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/hollister-house-for-rent-3bd-2ba/7784251074.html,N/A,"$3,450",/ 3br -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-westside-bungalow/7791229926.html,N/A,"$4,500",/ 2br - 980ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/richmond-house-for-rent-in-el-cerrito/7791043354.html,Jordan Ave,"$1,800",/ 3br - 1239ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-elegant-home-in-tiffani/7782357377.html,bowman ct,"$7,200",/ 4br - 3100ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-sunny-large-bedroom-house/7790522187.html,130 Blaine Street near Ocean Street,"$3,330",/ 2br - 1023ft2 -,"https://www.google.com/maps/search/36.981166,-122.022608"
https://sfbay.craigslist.org/scz/apa/d/mount-hermon-bedroom-home/7785671590.html,Whispering Pines Dr,"$4,950",/ 3br - 1100ft2 -,"https://www.google.com/maps/search/37.041620,-122.037849"
https://sfbay.craigslist.org/scz/apa/d/felton-bedroom-baths-house-for-rent/7785337148.html,Wells near Zayante,"$3,900",/ 3br - 1700ft2 -,"https://www.google.com/maps/search/37.093886,-122.044544"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-upper-westside-spanish-style/7790032039.html,Western Dr near Western Court,"$8,500",/ 4br - 3000ft2 -,"https://www.google.com/maps/search/36.968084,-122.058020"
https://sfbay.craigslist.org/scz/apa/d/morgan-hill-newly-remodeled-2r-1ba/7789957265.html,N/A,"$1,800",/ 2br - 894ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/scotts-valley-coming-soon-charming-bed/7789948261.html,N/A,"$5,250",/ 3br - 1640ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/capitola-beautiful-soquel-home-for-rent/7782179333.html,Main St near Ladera ct,"$4,400",/ 3br - 1850ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/holy-city-mountain-living-in-the/7789887423.html,23450 Wrights Station Rd near Morrill Rd/Summitt Rd,"$3,995",/ 2br - 1200ft2 -,"https://www.google.com/maps/search/37.126929,-121.936569"
